2024-12-11 15:55:18,617 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,619 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,629 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,639 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,650 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,660 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,670 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,680 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,690 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,700 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,708 - Published trajectory points: [0.0, 0.0] at time 5.0s
2024-12-11 15:55:18,710 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,721 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,731 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,741 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,751 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,761 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,771 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,780 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,791 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,801 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,811 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,820 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,830 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,843 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,854 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,862 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,872 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,883 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,890 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,900 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,909 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,919 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,930 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,940 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,951 - 当前位置: [1.0, 1.0]
2024-12-11 15:55:18,960 - 当前位置: [1.0, 1.0]
